"","provincia","sexo","idade_gt7","variable","value","count","percent"
"343","SOFALA","MASCULINO",1,"dif_vestir","NENHUMA",191,"96"
"344","SOFALA","MASCULINO",1,"dif_vestir","PEQUENA",8,"4"
"345","SOFALA","MASCULINO",1,"dif_socializar","ALGUMA",6,"3"
"346","SOFALA","MASCULINO",1,"dif_socializar","MUITA",3,"1.5"
"347","SOFALA","MASCULINO",1,"dif_socializar","NENHUMA",177,"88.9"
"348","SOFALA","MASCULINO",1,"dif_socializar","PEQUENA",13,"6.5"
"349","SOFALA","MASCULINO",1,"dif_amizade","ALGUMA",6,"3"
"350","SOFALA","MASCULINO",1,"dif_amizade","MUITA",4,"2"
"351","SOFALA","MASCULINO",1,"dif_amizade","NENHUMA",181,"91"
"352","SOFALA","MASCULINO",1,"dif_amizade","PEQUENA",8,"4"
"353","SOFALA","MASCULINO",1,"dif_trabalho","ALGUMA",9,"4.5"
"354","SOFALA","MASCULINO",1,"dif_trabalho","GRAVE OU NAO PODE FAZER",1,"0.5"
"355","SOFALA","MASCULINO",1,"dif_trabalho","MUITA",1,"0.5"
"356","SOFALA","MASCULINO",1,"dif_trabalho","NENHUMA",154,"77.4"
"357","SOFALA","MASCULINO",1,"dif_trabalho","PEQUENA",34,"17.1"
"358","SOFALA","MASCULINO",1,"dif_emocional","ALGUMA",16,"8"
"359","SOFALA","MASCULINO",1,"dif_emocional","GRAVE",1,"0.5"
"360","SOFALA","MASCULINO",1,"dif_emocional","MUITA",28,"14.1"
"361","SOFALA","MASCULINO",1,"dif_emocional","NENHUMA",68,"34.2"
"362","SOFALA","MASCULINO",1,"dif_emocional","PEQUENA",86,"43.2"
