"","provincia","sexo","idade_gt7","variable","value","count","percent"
"70","MANICA","FEMININO",1,"dif_andar","PEQUENA",61,"18.4"
"71","MANICA","FEMININO",1,"dif_banho","ALGUMA",2,"0.6"
"72","MANICA","FEMININO",1,"dif_banho","NENHUMA",326,"98.2"
"73","MANICA","FEMININO",1,"dif_banho","PEQUENA",4,"1.2"
"74","MANICA","FEMININO",1,"dif_vestir","ALGUMA",1,"0.3"
"75","MANICA","FEMININO",1,"dif_vestir","NENHUMA",323,"97.3"
"76","MANICA","FEMININO",1,"dif_vestir","PEQUENA",8,"2.4"
"77","MANICA","FEMININO",1,"dif_socializar","ALGUMA",6,"1.8"
"78","MANICA","FEMININO",1,"dif_socializar","MUITA",9,"2.7"
"79","MANICA","FEMININO",1,"dif_socializar","NENHUMA",271,"81.6"
"80","MANICA","FEMININO",1,"dif_socializar","PEQUENA",46,"13.9"
"81","MANICA","FEMININO",1,"dif_amizade","ALGUMA",3,"0.9"
"82","MANICA","FEMININO",1,"dif_amizade","MUITA",3,"0.9"
"83","MANICA","FEMININO",1,"dif_amizade","NENHUMA",298,"89.8"
"84","MANICA","FEMININO",1,"dif_amizade","PEQUENA",28,"8.4"
"85","MANICA","FEMININO",1,"dif_trabalho","ALGUMA",7,"2.1"
"86","MANICA","FEMININO",1,"dif_trabalho","MUITA",5,"1.5"
"87","MANICA","FEMININO",1,"dif_trabalho","NENHUMA",273,"82.2"
"88","MANICA","FEMININO",1,"dif_trabalho","PEQUENA",47,"14.2"
"89","MANICA","FEMININO",1,"dif_emocional","ALGUMA",21,"6.3"
"90","MANICA","FEMININO",1,"dif_emocional","GRAVE",1,"0.3"
"91","MANICA","FEMININO",1,"dif_emocional","MUITA",17,"5.1"
"92","MANICA","FEMININO",1,"dif_emocional","NENHUMA",203,"61.1"
"93","MANICA","FEMININO",1,"dif_emocional","PEQUENA",90,"27.1"
"94","MANICA","MASCULINO",0,"dif_fica_pe","ALGUMA",2,"5"
"95","MANICA","MASCULINO",0,"dif_fica_pe","NENHUMA",35,"87.5"
"96","MANICA","MASCULINO",0,"dif_fica_pe","PEQUENA",3,"7.5"
"97","MANICA","MASCULINO",0,"dif_casa","ALGUMA",1,"2.5"
"98","MANICA","MASCULINO",0,"dif_casa","MUITA",1,"2.5"
"99","MANICA","MASCULINO",0,"dif_casa","NENHUMA",30,"75"
"100","MANICA","MASCULINO",0,"dif_casa","PEQUENA",8,"20"
"101","MANICA","MASCULINO",0,"dif_tarefa_nova","ALGUMA",2,"5"
"102","MANICA","MASCULINO",0,"dif_tarefa_nova","NENHUMA",31,"77.5"
"103","MANICA","MASCULINO",0,"dif_tarefa_nova","PEQUENA",7,"17.5"
"104","MANICA","MASCULINO",0,"dif_comunidade","ALGUMA",1,"2.5"
"105","MANICA","MASCULINO",0,"dif_comunidade","MUITA",1,"2.5"
"106","MANICA","MASCULINO",0,"dif_comunidade","NENHUMA",31,"77.5"
"107","MANICA","MASCULINO",0,"dif_comunidade","PEQUENA",7,"17.5"
"108","MANICA","MASCULINO",0,"dif_concentrar","MUITA",3,"7.5"
"109","MANICA","MASCULINO",0,"dif_concentrar","NENHUMA",27,"67.5"
"110","MANICA","MASCULINO",0,"dif_concentrar","PEQUENA",10,"25"
"111","MANICA","MASCULINO",0,"dif_andar","ALGUMA",1,"2.5"
"112","MANICA","MASCULINO",0,"dif_andar","MUITA",1,"2.5"
"113","MANICA","MASCULINO",0,"dif_andar","NENHUMA",34,"85"
"114","MANICA","MASCULINO",0,"dif_andar","PEQUENA",4,"10"
"115","MANICA","MASCULINO",0,"dif_banho","NENHUMA",39,"97.5"
"116","MANICA","MASCULINO",0,"dif_banho","PEQUENA",1,"2.5"
"117","MANICA","MASCULINO",0,"dif_vestir","NENHUMA",40,"100"
"118","MANICA","MASCULINO",0,"dif_socializar","MUITA",1,"2.5"
"119","MANICA","MASCULINO",0,"dif_socializar","NENHUMA",37,"92.5"
"120","MANICA","MASCULINO",0,"dif_socializar","PEQUENA",2,"5"
"121","MANICA","MASCULINO",0,"dif_amizade","NENHUMA",38,"95"
"122","MANICA","MASCULINO",0,"dif_amizade","PEQUENA",2,"5"
"123","MANICA","MASCULINO",0,"dif_trabalho","ALGUMA",2,"5"
"124","MANICA","MASCULINO",0,"dif_trabalho","NENHUMA",35,"87.5"
"125","MANICA","MASCULINO",0,"dif_trabalho","PEQUENA",3,"7.5"
"126","MANICA","MASCULINO",0,"dif_emocional","ALGUMA",2,"5"
"127","MANICA","MASCULINO",0,"dif_emocional","MUITA",3,"7.5"
"128","MANICA","MASCULINO",0,"dif_emocional","NENHUMA",29,"72.5"
"129","MANICA","MASCULINO",0,"dif_emocional","PEQUENA",6,"15"
"130","MANICA","MASCULINO",1,"dif_fica_pe","ALGUMA",9,"6.9"
"131","MANICA","MASCULINO",1,"dif_fica_pe","GRAVE OU NAO PODE FAZER",1,"0.8"
"132","MANICA","MASCULINO",1,"dif_fica_pe","MUITA",11,"8.5"
"133","MANICA","MASCULINO",1,"dif_fica_pe","NENHUMA",91,"70"
"134","MANICA","MASCULINO",1,"dif_fica_pe","PEQUENA",18,"13.8"
"135","MANICA","MASCULINO",1,"dif_casa","ALGUMA",9,"6.9"
"136","MANICA","MASCULINO",1,"dif_casa","GRAVE OU NAO PODE FAZER",1,"0.8"
"137","MANICA","MASCULINO",1,"dif_casa","MUITA",7,"5.4"
"138","MANICA","MASCULINO",1,"dif_casa","NENHUMA",98,"75.4"
"139","MANICA","MASCULINO",1,"dif_casa","PEQUENA",15,"11.5"
"140","MANICA","MASCULINO",1,"dif_tarefa_nova","ALGUMA",7,"5.4"
"141","MANICA","MASCULINO",1,"dif_tarefa_nova","GRAVE OU NAO PODE FAZER",2,"1.5"
"142","MANICA","MASCULINO",1,"dif_tarefa_nova","MUITA",4,"3.1"
"143","MANICA","MASCULINO",1,"dif_tarefa_nova","NENHUMA",97,"74.6"
"144","MANICA","MASCULINO",1,"dif_tarefa_nova","PEQUENA",20,"15.4"
"145","MANICA","MASCULINO",1,"dif_comunidade","ALGUMA",8,"6.2"
"146","MANICA","MASCULINO",1,"dif_comunidade","GRAVE OU NAO PODE FAZER",1,"0.8"
"147","MANICA","MASCULINO",1,"dif_comunidade","MUITA",5,"3.8"
"148","MANICA","MASCULINO",1,"dif_comunidade","NENHUMA",105,"80.8"
"149","MANICA","MASCULINO",1,"dif_comunidade","PEQUENA",11,"8.5"
"150","MANICA","MASCULINO",1,"dif_concentrar","ALGUMA",6,"4.6"
"151","MANICA","MASCULINO",1,"dif_concentrar","MUITA",8,"6.2"
"152","MANICA","MASCULINO",1,"dif_concentrar","NENHUMA",96,"73.8"
"153","MANICA","MASCULINO",1,"dif_concentrar","PEQUENA",20,"15.4"
"154","MANICA","MASCULINO",1,"dif_andar","ALGUMA",5,"3.8"
"155","MANICA","MASCULINO",1,"dif_andar","GRAVE OU NAO PODE FAZER",1,"0.8"
"156","MANICA","MASCULINO",1,"dif_andar","MUITA",9,"6.9"
"157","MANICA","MASCULINO",1,"dif_andar","NENHUMA",104,"80"
"158","MANICA","MASCULINO",1,"dif_andar","PEQUENA",11,"8.5"
"159","MANICA","MASCULINO",1,"dif_banho","ALGUMA",2,"1.5"
"160","MANICA","MASCULINO",1,"dif_banho","NENHUMA",127,"97.7"
"161","MANICA","MASCULINO",1,"dif_banho","PEQUENA",1,"0.8"
"162","MANICA","MASCULINO",1,"dif_vestir","ALGUMA",1,"0.8"
"163","MANICA","MASCULINO",1,"dif_vestir","NENHUMA",127,"97.7"
"164","MANICA","MASCULINO",1,"dif_vestir","PEQUENA",2,"1.5"
"165","MANICA","MASCULINO",1,"dif_socializar","ALGUMA",5,"3.8"
"166","MANICA","MASCULINO",1,"dif_socializar","MUITA",3,"2.3"
"167","MANICA","MASCULINO",1,"dif_socializar","NENHUMA",112,"86.2"
"168","MANICA","MASCULINO",1,"dif_socializar","PEQUENA",10,"7.7"
"169","MANICA","MASCULINO",1,"dif_amizade","ALGUMA",1,"0.8"
"170","MANICA","MASCULINO",1,"dif_amizade","MUITA",4,"3.1"
"171","MANICA","MASCULINO",1,"dif_amizade","NENHUMA",116,"89.2"
"172","MANICA","MASCULINO",1,"dif_amizade","PEQUENA",9,"6.9"
"173","MANICA","MASCULINO",1,"dif_trabalho","ALGUMA",4,"3.1"
"174","MANICA","MASCULINO",1,"dif_trabalho","GRAVE OU NAO PODE FAZER",1,"0.8"
"175","MANICA","MASCULINO",1,"dif_trabalho","MUITA",6,"4.6"
"176","MANICA","MASCULINO",1,"dif_trabalho","NENHUMA",109,"83.8"
"177","MANICA","MASCULINO",1,"dif_trabalho","PEQUENA",10,"7.7"
"178","MANICA","MASCULINO",1,"dif_emocional","ALGUMA",17,"13.1"
"179","MANICA","MASCULINO",1,"dif_emocional","MUITA",10,"7.7"
