"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"HD Manica","Obitos","RMUS","NEP_FISICO",3,3,1,0.13393758817773,7.46616400672407,"high",0
"HR Nhamatanda","Obitos","RMUS","NEP_FISICO",7,7,1,0.299309681810599,3.34102122574435,"high",0
"CS Cheadeia","Testados","RMUS","SIS_MA",835,835,1,0.907442860170545,1.101997760842,"high",0
"CS Dondo","Testados","RMUS","SIS_MA",20892,20789,0.995069883208884,0.976099409566129,1.01440881748597,"high",0.00493011679111622
"CS Inchope","Testados","RMUS","SIS_MA",7927,7986,1.0074429166141,0.976496034187546,1.03937149290161,"high",-0.0074429166141037
"CS Mafambisse","Testados","RMUS","SIS_MA",16664,16664,1,0.978698056797778,1.02176559261998,"high",0
"CS Mascarenhas","Testados","RMUS","SIS_MA",3747,3747,1,0.95547289466741,1.04660216483492,"high",0
"CS Messica","Testados","RMUS","SIS_MA",18932,18045,0.953148109021762,0.933857599751825,0.97283468034313,"high",0.0468518909782379
"CS Muanza Baixo","Testados","RMUS","SIS_MA",933,943,1.010718113612,0.922279138889194,1.10765015170661,"high",-0.0107181136120043
"CS Muanza Sede","Testados","RMUS","SIS_MA",2412,2410,0.999170812603648,0.943937386839339,1.05763580470867,"high",0.000829187396351575
"CS Munhava","Testados","RMUS","SIS_MA",16850,16850,1,0.97881502063041,1.02164349639419,"high",0
"CS Vila Nova","Testados","RMUS","SIS_MA",23779,23489,0.987804365196182,0.970112253989437,1.00581863127146,"high",0.0121956348038185
"Eduardo Mondlane","Testados","RMUS","SIS_MA",19757,19757,1,0.980423698886364,1.01996718473439,"high",0
"HD Manica","Testados","RMUS","SIS_MA",12824,12821,0.999766063630692,0.975514674735757,1.02462032645602,"high",0.000233936369307548
"HR Nhamatanda","Testados","RMUS","SIS_MA",6762,6762,1,0.966711194089652,1.03443510958999,"high",0
"CS Cheadeia","Positivos","RMUS","SIS_MA",173,173,1,0.805271406921946,1.2418173443192,"high",0
"CS Dondo","Positivos","RMUS","SIS_MA",8969,8315,0.927082171925521,0.899720499878114,0.955267888581968,"high",0.0729178280744788
"CS Inchope","Positivos","RMUS","SIS_MA",3739,4274,1.14308638673442,1.0937460681745,1.1946912714594,"high",-0.143086386734421
"CS Mafambisse","Positivos","RMUS","SIS_MA",6515,6515,1,0.966094010832354,1.03509595214076,"high",0
"CS Mascarenhas","Positivos","RMUS","SIS_MA",592,975,1.64695945945946,1.48553822078986,1.82713085456411,"low",-0.646959459459459
"CS Messica","Positivos","RMUS","SIS_MA",13492,11196,0.829825081529795,0.809218760263195,0.850943719069514,"medium",0.170174918470205
"CS Muanza Baixo","Positivos","RMUS","SIS_MA",303,303,1,0.849964919246737,1.1765191449151,"high",0
"CS Muanza Sede","Positivos","RMUS","SIS_MA",1146,1251,1.09162303664921,1.00674356436125,1.1837443622046,"high",-0.0916230366492147
"CS Munhava","Positivos","RMUS","SIS_MA",2333,2343,1.00428632661809,0.947929344340472,1.06399578446767,"high",-0.0042863266180883
"CS Vila Nova","Positivos","RMUS","SIS_MA",12895,13661,1.0594028693292,1.03413727249628,1.08529027095774,"high",-0.0594028693291974
"Eduardo Mondlane","Positivos","RMUS","SIS_MA",23007,22395,0.973399400182553,0.955611476472108,0.991517305188242,"high",0.0266005998174469
"HD Manica","Positivos","RMUS","SIS_MA",7809,7780,0.996286336278653,0.965368951014324,1.02819342451134,"high",0.00371366372134716
"HR Nhamatanda","Positivos","RMUS","SIS_MA",2926,2926,1,0.949723474563331,1.0529380675357,"high",0
"CS Cheadeia","Tratados_ACTs","RMUS","SIS_MA",271,295,1.08856088560886,0.919918207962206,1.28851796835811,"high",-0.0885608856088561
"CS Dondo","Tratados_ACTs","RMUS","SIS_MA",9434,8784,0.931100275598898,0.90432841382773,0.958657463813668,"high",0.0688997244011024
"CS Inchope","Tratados_ACTs","RMUS","SIS_MA",3714,3635,0.978729133010232,0.93472345800007,1.02480072612001,"high",0.0212708669897684
"CS Mafambisse","Tratados_ACTs","RMUS","SIS_MA",6673,6673,1,0.966492727435678,1.03466893398487,"high",0
"CS Mascarenhas","Tratados_ACTs","RMUS","SIS_MA",1174,1174,1,0.921501455057402,1.08518548127274,"high",0
"CS Messica","Tratados_ACTs","RMUS","SIS_MA",10880,10880,1,0.973686890976167,1.02702419973782,"high",0
"CS Muanza Baixo","Tratados_ACTs","RMUS","SIS_MA",304,304,1,0.850197075715088,1.17619788230736,"high",0
"CS Muanza Sede","Tratados_ACTs","RMUS","SIS_MA",900,1251,1.39,1.27485398788724,1.51601392590288,"low",-0.39
"CS Munhava","Tratados_ACTs","RMUS","SIS_MA",2284,2284,1,0.943237586972094,1.06017827725687,"high",0
"CS Vila Nova","Tratados_ACTs","RMUS","SIS_MA",10629,10509,0.988710132655941,0.962316986363514,1.01582610660106,"high",0.0112898673440587
"Eduardo Mondlane","Tratados_ACTs","RMUS","SIS_MA",22526,22351,0.992231199502797,0.973996019277894,1.01080744325086,"high",0.00776880049720323
"HD Manica","Tratados_ACTs","RMUS","SIS_MA",5504,6104,1.10901162790698,1.06915973893564,1.15036879013484,"high",-0.109011627906977
"HR Nhamatanda","Tratados_ACTs","RMUS","SIS_MA",4045,4276,1.05710754017305,1.012389057051,1.1038155738868,"high",-0.0571075401730532
"CS Muanza Sede","Obitos","RMUS","SIS_MA",4,4,1,0.186257590850785,5.36890870021573,"high",0
"HD Gondola","Obitos","RMUS","SIS_MA",8,8,1,0.327157822884961,3.05662872793854,"high",0
"HR Nhamatanda","Obitos","RMUS","SIS_MA",8,8,1,0.327157822884961,3.05662872793854,"high",0
