"district","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Nhamatanda","Jul","Tratados_ACTs","LR","NEP_FISICO",1017,935,0.91937069813176,0.840346892817369,1.00573967335222,"high",0.0806293018682399
"Nhamatanda","Jun","Tratados_ACTs","LR","NEP_FISICO",1112,1488,1.33812949640288,1.23726574237477,1.44754011062933,"low",-0.338129496402878
"Nhamatanda","Mar","Tratados_ACTs","LR","NEP_FISICO",504,525,1.04166666666667,0.920058693655308,1.17944244815486,"high",-0.0416666666666667
"Nhamatanda","May","Tratados_ACTs","LR","NEP_FISICO",1394,1566,1.12338593974175,1.04449599661997,1.20832798285952,"high",-0.12338593974175
"Gondola","Jul","Obitos","LR","NEP_FISICO",3,2,0.666666666666667,0.0556818890072143,5.81975657896078,"high",0.333333333333333
"Gondola","Jun","Obitos","LR","NEP_FISICO",4,1,0.25,0.00507640309029595,2.52631610868175,"high",0.75
"Gondola","Mar","Obitos","LR","NEP_FISICO",6,3,0.5,0.0809112102399224,2.34118449087655,"high",0.5
"Manica","Apr","Obitos","LR","NEP_FISICO",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"Manica","May","Obitos","LR","NEP_FISICO",2,1,0.5,0.00847498034911153,9.60452988472286,"high",0.5
"Muanza","May","Obitos","LR","NEP_FISICO",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
"Nhamatanda","Apr","Obitos","LR","NEP_FISICO",1,4,4,0.395833283318533,196.989872989321,"high",-3
"Nhamatanda","Mar","Obitos","LR","NEP_FISICO",1,3,3,0.240880227829262,157.492088274811,"high",-2
"Beira","Apr","Testados","LR","SIS_MA",5163,5601,1.08483439860546,1.04439150244942,1.12685988918824,"high",-0.0848343986054619
"Beira","Feb","Testados","LR","SIS_MA",1532,4903,3.20039164490862,3.02132702896123,3.39155383459355,"low",-2.20039164490862
"Beira","Jul","Testados","LR","SIS_MA",3538,5105,1.44290559638214,1.38207541120134,1.50653973576264,"low",-0.442905596382137
"Beira","Jun","Testados","LR","SIS_MA",4116,5031,1.22230320699708,1.17274155125737,1.2740138836926,"medium",-0.222303206997085
"Beira","Mar","Testados","LR","SIS_MA",2130,5232,2.45633802816901,2.3352064329521,2.58445234542883,"low",-1.45633802816901
"Beira","May","Testados","LR","SIS_MA",4372,5250,1.20082342177493,1.15336855689252,1.25027705422803,"medium",-0.200823421774931
"Chimoio","Apr","Testados","LR","SIS_MA",3713,3446,0.928090492862914,0.885788069495836,0.972393455819717,"high",0.0719095071370859
"Chimoio","Feb","Testados","LR","SIS_MA",3110,3805,1.22347266881029,1.16654920436491,1.28324696384394,"medium",-0.223472668810289
"Chimoio","Jul","Testados","LR","SIS_MA",6180,8560,1.38511326860841,1.34037268183531,1.43140930880638,"low",-0.385113268608414
"Chimoio","Jun","Testados","LR","SIS_MA",9235,9968,1.07937195452084,1.04913991601875,1.11048366035497,"high",-0.0793719545208446
"Chimoio","Mar","Testados","LR","SIS_MA",3510,5956,1.6968660968661,1.62727493375943,1.76963377406229,"low",-0.696866096866097
"Chimoio","May","Testados","LR","SIS_MA",9479,11511,1.21436860428315,1.18169842008615,1.24796434291049,"medium",-0.214368604283152
"Dondo","Apr","Testados","LR","SIS_MA",4868,9757,2.00431388660641,1.93635026583912,2.07486889834341,"low",-1.00431388660641
"Dondo","Feb","Testados","LR","SIS_MA",3207,4967,1.54879950109136,1.48123785744339,1.61961619669441,"low",-0.548799501091363
"Dondo","Jul","Testados","LR","SIS_MA",3249,5829,1.79409048938135,1.71843310736798,1.87332601364642,"low",-0.794090489381348
"Dondo","Jun","Testados","LR","SIS_MA",2785,5536,1.98779174147217,1.89896257838118,2.08113626899974,"low",-0.987791741472172
"Dondo","Mar","Testados","LR","SIS_MA",2612,6024,2.3062787136294,2.20240169615094,2.41556322152895,"low",-1.3062787136294
"Dondo","May","Testados","LR","SIS_MA",3829,8750,2.28519195612431,2.19977636563419,2.3742610651724,"low",-1.28519195612431
"Gondola","Apr","Testados","LR","SIS_MA",5394,8030,1.48869113830182,1.43801974555946,1.54123849079696,"low",-0.488691138301817
"Gondola","Feb","Testados","LR","SIS_MA",2355,7603,3.22845010615711,3.08220183232083,3.38259958200455,"low",-2.22845010615711
"Gondola","Jul","Testados","LR","SIS_MA",3566,8039,2.2543466068424,2.16690137583388,2.34567453706256,"low",-1.2543466068424
"Gondola","Jun","Testados","LR","SIS_MA",3682,7887,2.14204236827811,2.05959705747383,2.22809981970842,"low",-1.14204236827811
"Gondola","Mar","Testados","LR","SIS_MA",2813,5808,2.06469960895841,1.97345732135579,2.16054447400973,"low",-1.06469960895841
"Gondola","May","Testados","LR","SIS_MA",6519,11183,1.71544715447154,1.66369591397191,1.76891709193407,"low",-0.715447154471545
"Manica","Apr","Testados","LR","SIS_MA",11004,12902,1.17248273355144,1.14294999268365,1.20279400675032,"medium",-0.172482733551436
"Manica","Feb","Testados","LR","SIS_MA",3581,3759,1.04970678581402,1.00247968000318,1.09917287339555,"high",-0.0497067858140184
"Manica","Jul","Testados","LR","SIS_MA",626,2068,3.30351437699681,3.01948518311481,3.61825619720223,"low",-2.30351437699681
"Manica","Jun","Testados","LR","SIS_MA",3677,2908,0.790862115855317,0.753057450609178,0.830506607858662,"medium",0.209137884144683
"Manica","Mar","Testados","LR","SIS_MA",3350,2364,0.705671641791045,0.669198786564742,0.744042165362632,"low",0.294328358208955
"Manica","May","Testados","LR","SIS_MA",5977,6865,1.14856951647984,1.10926444251753,1.18929212907433,"medium",-0.148569516479839
"Muanza","Apr","Testados","LR","SIS_MA",1080,1348,1.24814814814815,1.15127927689356,1.35341351446513,"medium",-0.248148148148148
"Muanza","Feb","Testados","LR","SIS_MA",678,704,1.03834808259587,0.933085032605591,1.15554898879364,"high",-0.0383480825958702
"Muanza","Jul","Testados","LR","SIS_MA",392,689,1.75765306122449,1.55042171029194,1.99479565969592,"low",-0.75765306122449
"Muanza","Jun","Testados","LR","SIS_MA",787,1055,1.34053367217281,1.22115637714968,1.4720529041429,"low",-0.340533672172808
"Muanza","Mar","Testados","LR","SIS_MA",723,744,1.02904564315353,0.927676015005694,1.14153669121032,"high",-0.029045643153527
"Muanza","May","Testados","LR","SIS_MA",939,1372,1.46112886048988,1.34374995129691,1.58928904058586,"low",-0.461128860489883
