"province","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Sofala","Feb","Tratados_ACTs","LR","SIS_MA",2328,3435,1.47551546391753,1.39947585151843,1.55589629616772,"low",-0.475515463917526
"Sofala","Jul","Tratados_ACTs","LR","SIS_MA",2106,3439,1.6329534662868,1.5462995224471,1.72477271096776,"low",-0.6329534662868
"Sofala","Jun","Tratados_ACTs","LR","SIS_MA",3824,6541,1.71051255230126,1.64335527828307,1.78060131634035,"low",-0.710512552301255
"Sofala","Mar","Tratados_ACTs","LR","SIS_MA",1653,3306,2,1.88475674897347,2.122916858075,"low",-1
"Sofala","May","Tratados_ACTs","LR","SIS_MA",4352,6665,1.53147977941176,1.47386068726233,1.59147405138161,"low",-0.531479779411765
"Manica","Apr","Obitos","LR","SIS_MA",4,2,0.5,0.045229012149485,3.48877165297535,"high",0.5
"Manica","Feb","Obitos","LR","SIS_MA",5,2,0.4,0.0380901931073364,2.44327878903494,"high",0.6
"Manica","Jul","Obitos","LR","SIS_MA",3,2,0.666666666666667,0.0556818890072143,5.81975657896078,"high",0.333333333333333
"Manica","Jun","Obitos","LR","SIS_MA",4,1,0.25,0.00507640309029595,2.52631610868175,"high",0.75
"Manica","Mar","Obitos","LR","SIS_MA",6,3,0.5,0.0809112102399224,2.34118449087655,"high",0.5
"Sofala","Apr","Obitos","LR","SIS_MA",1,4,4,0.395833283318533,196.989872989321,"high",-3
"Sofala","Jun","Obitos","LR","SIS_MA",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"Sofala","Mar","Obitos","LR","SIS_MA",1,3,3,0.240880227829262,157.492088274811,"high",-2
"Sofala","May","Obitos","LR","SIS_MA",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
