"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Muanza Sede","Positivos","LR","RMUS",671,1146,1.70789865871833,1.55132865234299,1.8814264917027,"low",-0.707898658718331
"CS Munhava","Positivos","LR","RMUS",1510,2333,1.54503311258278,1.4475583745649,1.64944895000467,"low",-0.545033112582781
"CS Vila Nova","Positivos","LR","RMUS",9422,12895,1.3686053916366,1.33262495858176,1.40559587343419,"low",-0.368605391636595
"Eduardo Mondlane","Positivos","LR","RMUS",17596,23007,1.30751307115253,1.28204247240515,1.333506756102,"low",-0.307513071152535
"HD Manica","Positivos","LR","RMUS",5712,7809,1.3671218487395,1.32108655386976,1.41482544743389,"low",-0.367121848739496
"HR Nhamatanda","Positivos","LR","RMUS",4593,4972,1.08251687350316,1.03974430889798,1.12706708959185,"high",-0.082516873503157
"CS Cheadeia","Tratados_ACTs","LR","RMUS",326,318,0.975460122699387,0.833191483825075,1.1419310570315,"high",0.0245398773006135
"CS Dondo","Tratados_ACTs","LR","RMUS",2492,9434,3.78571428571429,3.62183058598401,3.95814618301867,"low",-2.78571428571429
"CS Inchope","Tratados_ACTs","LR","RMUS",5015,4283,0.854037886340977,0.81972064097277,0.889762469227255,"medium",0.145962113659023
"CS Mafambisse","Tratados_ACTs","LR","RMUS",4981,6673,1.33969082513551,1.29122041650507,1.39004905580772,"low",-0.339690825135515
"CS Mascarenhas","Tratados_ACTs","LR","RMUS",560,1174,2.09642857142857,1.89405541846493,2.32258725189385,"low",-1.09642857142857
"CS Messica","Tratados_ACTs","LR","RMUS",12595,13188,1.04708217546645,1.02174560078144,1.07305070504113,"high",-0.0470821754664549
"CS Muanza Baixo","Tratados_ACTs","LR","RMUS",487,560,1.14989733059548,1.01657361346418,1.30105742511742,"high",-0.149897330595483
"CS Muanza Sede","Tratados_ACTs","LR","RMUS",564,900,1.59574468085106,1.43471274875087,1.77602580045012,"low",-0.595744680851064
"CS Munhava","Tratados_ACTs","LR","RMUS",1499,2284,1.52368245496998,1.42694832916772,1.62733979327385,"low",-0.52368245496998
"CS Vila Nova","Tratados_ACTs","LR","RMUS",7992,10629,1.32995495495495,1.29179372269928,1.36928439500168,"low",-0.329954954954955
"Eduardo Mondlane","Tratados_ACTs","LR","RMUS",17623,22526,1.27821596776939,1.25321201890428,1.30373420260143,"low",-0.278215967769392
"HD Manica","Tratados_ACTs","LR","RMUS",5762,5504,0.955223880597015,0.9204135513174,0.99134295987835,"high",0.0447761194029851
"HR Nhamatanda","Tratados_ACTs","LR","RMUS",5393,6014,1.11514926756907,1.0747248627469,1.15711557613147,"high",-0.115149267569071
"CS Muanza Sede","Obitos","LR","RMUS",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
"HD Gondola","Obitos","LR","RMUS",13,6,0.461538461538462,0.14385149083119,1.30150428240767,"high",0.538461538461538
"HD Manica","Obitos","LR","RMUS",3,2,0.666666666666667,0.0556818890072143,5.81975657896078,"high",0.333333333333333
"HR Nhamatanda","Obitos","LR","RMUS",4,9,2.25,0.627970720409122,9.99863242682075,"high",-1.25
"CS Cheadeia","Testados","LR","NEP_FISICO",1113,1093,0.982030548068284,0.902565896668539,1.06847413821463,"high",0.0179694519317161
"CS Dondo","Testados","LR","NEP_FISICO",7884,24302,3.08244545915779,3.00499891164862,3.16214807994991,"low",-2.08244545915779
"CS Inchope","Testados","LR","NEP_FISICO",4775,7969,1.66890052356021,1.60989579050925,1.73020800928821,"low",-0.668900523560209
"CS Mafambisse","Testados","LR","NEP_FISICO",12666,16664,1.31564819201011,1.2855216699552,1.34650518859583,"low",-0.315648192010106
"CS Mascarenhas","Testados","LR","NEP_FISICO",2880,5822,2.02152777777778,1.93291327632172,2.11456448225962,"low",-1.02152777777778
"CS Messica","Testados","LR","NEP_FISICO",10910,12263,1.12401466544455,1.09530228877426,1.15349091065585,"high",-0.124014665444546
"CS Muanza Baixo","Testados","LR","NEP_FISICO",700,811,1.15857142857143,1.04585285250175,1.28368884016192,"high",-0.158571428571429
"CS Muanza Sede","Testados","LR","NEP_FISICO",2937,4242,1.44433094994893,1.37762397928619,1.51442195932336,"low",-0.444330949948927
"CS Munhava","Testados","LR","NEP_FISICO",17971,25300,1.40782371598687,1.38110596323078,1.43508045995234,"low",-0.407823715986868
"CS Vila Nova","Testados","LR","NEP_FISICO",18137,23479,1.2945360313172,1.2696405548754,1.31993550882154,"low",-0.294536031317197
"Eduardo Mondlane","Testados","LR","NEP_FISICO",17090,19757,1.1560561732007,1.13256937463494,1.18003895585685,"medium",-0.156056173200702
"HD Gondola","Testados","LR","NEP_FISICO",19554,41267,2.1104121918789,2.07475381721263,2.14673862233276,"low",-1.1104121918789
"HD Manica","Testados","LR","NEP_FISICO",12773,19831,1.55257183120645,1.51835168718934,1.58760560892042,"low",-0.552571831206451
"HR Nhamatanda","Testados","LR","NEP_FISICO",15385,16568,1.07689307767306,1.05345516202894,1.1008573496106,"high",-0.0768930776730582
"CS Cheadeia","Positivos","LR","NEP_FISICO",334,338,1.01197604790419,0.867369242369835,1.18073432301062,"high",-0.0119760479041916
"CS Dondo","Positivos","LR","NEP_FISICO",2993,10150,3.39124624122954,3.25544144506301,3.53352165190567,"low",-2.39124624122954
"CS Inchope","Positivos","LR","NEP_FISICO",3823,4268,1.1164007324091,1.06847213035466,1.16651010114693,"high",-0.116400732409103
"CS Mafambisse","Positivos","LR","NEP_FISICO",4928,6515,1.32203733766234,1.27381632971081,1.3721492725416,"low",-0.322037337662338
"CS Mascarenhas","Positivos","LR","NEP_FISICO",847,2104,2.4840613931523,2.2925299052051,2.69346911138717,"low",-1.4840613931523
"CS Messica","Positivos","LR","NEP_FISICO",7101,8445,1.18926911702577,1.1521880623963,1.22757004940318,"medium",-0.189269117025771
"CS Muanza Baixo","Positivos","LR","NEP_FISICO",487,559,1.14784394250513,1.01470377985746,1.29879972075426,"high",-0.147843942505133
"CS Muanza Sede","Positivos","LR","NEP_FISICO",1283,1982,1.5448168355417,1.43931366114699,1.65850125201226,"low",-0.544816835541699
"CS Munhava","Positivos","LR","NEP_FISICO",2990,3739,1.2505016722408,1.19147353308692,1.31253959192317,"medium",-0.250501672240803
"CS Vila Nova","Positivos","LR","NEP_FISICO",9422,13671,1.45096582466568,1.41327873349785,1.48970508391784,"low",-0.450965824665676
"Eduardo Mondlane","Positivos","LR","NEP_FISICO",17596,22607,1.28478063196181,1.25965729952786,1.31042083620184,"low",-0.28478063196181
"HD Gondola","Positivos","LR","NEP_FISICO",16045,23528,1.46637581801184,1.4371814018703,1.49619166737604,"low",-0.466375818011842
"HD Manica","Positivos","LR","NEP_FISICO",8493,18842,2.21853290945485,2.16230667802798,2.27636250181597,"low",-1.21853290945485
"HR Nhamatanda","Positivos","LR","NEP_FISICO",4593,4972,1.08251687350316,1.03974430889798,1.12706708959185,"high",-0.082516873503157
"CS Cheadeia","Tratados_ACTs","LR","NEP_FISICO",326,342,1.04907975460123,0.898759938043401,1.22472072509459,"high",-0.049079754601227
"CS Dondo","Tratados_ACTs","LR","NEP_FISICO",3013,9003,2.9880517756389,2.86696986942663,3.11491298730985,"low",-1.9880517756389
"CS Inchope","Tratados_ACTs","LR","NEP_FISICO",5015,4268,0.851046859421735,0.816817584329917,0.886680592780262,"medium",0.148953140578265
"CS Mafambisse","Tratados_ACTs","LR","NEP_FISICO",4981,5583,1.12085926520779,1.07865537211081,1.16473880722336,"high",-0.12085926520779
"CS Mascarenhas","Tratados_ACTs","LR","NEP_FISICO",843,1770,2.09964412811388,1.93320091950392,2.28181804868389,"low",-1.09964412811388
"CS Messica","Tratados_ACTs","LR","NEP_FISICO",7067,8400,1.18862317815197,1.15146970158304,1.22700198581716,"medium",-0.188623178151974
"CS Muanza Baixo","Tratados_ACTs","LR","NEP_FISICO",487,560,1.14989733059548,1.01657361346418,1.30105742511742,"high",-0.149897330595483
